Character;1st Popularity Poll;2nd Popularity Poll;3rd Popularity Poll;4th Popularity Poll;5th Popularity Poll;6th Popularity Poll;7th Popularity Poll;8th Popularity Poll
All For One;;8.0;;;60.0;43.0;;109.0
All Might;627.0;521.0;;2278.0;813.0;746.0;1204.0;
Bakudog;;;;;;;;53.0
Best Jeanist;3.0;22.0;;2649.0;153.0;173.0;224.0;260.0
Camie;;8.0;;;;;;
Can't You See? Kid;;;;102.0;;;;
Cementoss;7.0;27.0;123.0;;;37.0;;
Chronostasis;;;;303.0;64.0;206.0;;
Curator;;;52.0;77.0;;;;
Dabi;;27.0;139.0;368.0;367.0;478.0;895.0;1045.0
David Shield;;;;;34.0;;;
Deku's freckles;;;;;;;203.0;
Denki Kaminari;224.0;243.0;1223.0;1197.0;749.0;905.0;1144.0;1853.0
Drooling Bakugo;;;;;;;;273.0
Ectoplasm;;12.0;;;;;;
Edgeshot;;9.0;;;;;;57.0
Eijiro Kirishima;119.0;722.0;2006.0;3573.0;3374.0;2000.0;5176.0;1776.0
Endeavor;19.0;13.0;388.0;2420.0;408.0;1344.0;1521.0;3483.0
Endeavor doll;;;;85.0;;;;
Eraser Head;;;;1740.0;1543.0;2708.0;3087.0;1849.0
Eri;;;109.0;;69.0;125.0;76.0;
Fat Gum;;;;319.0;182.0;214.0;148.0;
Fumikage Tokoyami;485.0;127.0;1018.0;811.0;272.0;502.0;393.0;321.0
Fuyumi Todoroki;6.0;;;;;;;
Gang Orca;;;141.0;1238.0;52.0;;;
Gentle Criminal;;;;;40.0;;;
Gran Torino;10.0;9.0;;;;;;
Hanta Sero;24.0;94.0;443.0;236.0;229.0;229.0;736.0;862.0
Hawks;;;;3756.0;969.0;1962.0;4917.0;1820.0
Himiko Toga;;75.0;409.0;256.0;1104.0;606.0;686.0;587.0
Hitoshi Shinso;186.0;154.0;1178.0;587.0;522.0;354.0;1524.0;687.0
Horikoshi;;28.0;98.0;74.0;;110.0;182.0;
Horikoshi's hand;;;;;96.0;;;
Ibara Shiozaki;9.0;;;;;;;
Inasa Yoarashi;;14.0;;;;;243.0;
Ingenium;;;93.0;;;;;
Inko Midoriya;;10.0;;;;;;
Itsuka Kendo;170.0;22.0;186.0;68.0;;;;
Izuku Midoriya;2314.0;2217.0;3205.0;8301.0;12373.0;8115.0;10462.0;8018.0
Kamui Woods;3.0;;;;;;;
Katsuki Bakugo;1764.0;3020.0;5909.0;16915.0;22876.0;14937.0;13869.0;13731.0
Kendo Rappa;;;;;;;142.0;
Kohei Horikoshi;89.0;;;;;;;
Koji Koda;7.0;;86.0;;;;;
