comb; list
(10, 11, 12); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 676]
(10, 11, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 787]
(10, 12, 13); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 797, 1111]
(10, 12, 13, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 1111]
(10, 12, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 1111]
(10, 13, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 1111]
(10, 13, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 353]
(10, 14, 15); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 858]
(10, 14, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 39593]
(10, 15, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 979]
(11, 12, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 942]
(11, 12, 15); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1220]
(11, 12, 15, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1220]
(11, 12, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 1220]
(11, 14, 15); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 2124]
(11, 15, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 1220]
(12, 13, 14); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1111]
(12, 13, 15); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1582]
(12, 13, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 1268]
(12, 14, 15); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 1280]
(12, 15, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 1220]
(13, 14, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 562, 1477]
(14, 15, 16); [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 1702]
(2, 10, 13); [0, 1, 3, 5, 7, 9, 313]
(2, 10, 14); [0, 1, 3, 5, 7, 9, 717]
(2, 11, 16); [0, 1, 3, 5, 7, 9, 255]
(2, 12, 16); [0, 1, 3, 5, 7, 9, 1317, 1365, 65535]
(2, 13, 15); [0, 1, 3, 5, 7, 9, 693]
(2, 13, 16); [0, 1, 3, 5, 7, 9, 771]
(2, 14, 16); [0, 1, 3, 5, 7, 9, 15, 356981]
(2, 4, 10); [0, 1, 3, 5, 53235]
(2, 4, 11); [0, 1, 3, 5, 255]
(2, 4, 11, 16); [0, 1, 3, 5, 255]
(2, 4, 12); [0, 1, 3, 5, 65, 1365, 65535]
(2, 4, 12, 16); [0, 1, 3, 5, 1365, 65535]
(2, 4, 13); [0, 1, 3, 5, 771]
(2, 4, 13, 16); [0, 1, 3, 5, 771]
(2, 4, 14); [0, 1, 3, 5, 15, 195, 21525]
(2, 4, 16); [0, 1, 3, 5, 15, 17, 51, 85, 255, 257, 273, 771, 819, 1285, 1365, 3855, 4095, 4097, 4369, 12291, 13107, 20485, 21845, 61455, 65535, 65537, 65793, 69649, 69905, 196611, 197379, 208947, 209715, 327685, 328965, 348245, 349525, 983055, 986895]
(2, 4, 6); [0, 1, 3, 5, 21, 819]
(2, 4, 6, 16); [0, 1, 3, 5, 819]
(2, 4, 7); [0, 1, 3, 5, 85, 257, 786435]
(2, 4, 7, 16); [0, 1, 3, 5, 85, 257]
(2, 4, 7, 8); [0, 1, 3, 5, 786435]
(2, 4, 8); [0, 1, 3, 5, 63, 65, 195, 325, 341, 4095, 4097, 4161, 12291, 12483, 20485, 20805, 21525, 21845, 258111, 262143, 262145, 266305, 786435, 798915]
